NBN Atlas record ID,Scientific name,Name qualifier,Common name,Species ID (TVK),Taxon Rank,Occurrence status,Start date year,Locality,OSGR,Latitude,Longitude,Coordinate uncertainty_m,Identification verification status,Vitality
c69f9ece-aec9-4adf-a3ec-51311bfbe941,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,Glenarm Forest,D307144,54.96045,-5.95953,100,Accepted,
c6536e68-3007-438d-8954-b4782af1fb37,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,Elrick House (Newmachar),NJ8873518182,57.25438014,-2.186732668,1,Accepted,
c652e8aa-c31f-478e-b2cd-3f4e0beb3cb2,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,"Bridge of Allan, Stirling, UK",NS79269905,56.16885593,-3.944750977,10,Accepted,
c64eca10-67aa-41f4-8030-86ef3ed92684,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,NZ18,55.1591,-1.76612,10000,Unconfirmed,
c5d2bf67-dd92-498f-8902-71e885506d76,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,NN57643287,56.4665273,-4.31096568,10,Accepted,
c59a92fb-6859-4d5e-83ef-ff59ff949d88,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,Sittyton,NJ8510020100,57.27150718,-2.247102505,1,Accepted,
c545687a-ab60-465e-bd18-07e592b2fec6,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,Binghill,NJ8545602200,57.11070605,-2.24015287,1,Accepted,
c53c62b3-527d-4359-87c1-83e83ebf36a6,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,"Lockerbie, Lockerbie, Dumfries and Galloway DG11, UK",NY141828,55.13205321,-3.347449451,100,Accepted,
c5271650-c492-42ce-b58b-7b483bd28f62,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,"Barcaldine, United Kingdom",NM963413,56.51964048,-5.311709001,100,Accepted,
c50881e2-c367-4fbe-96c0-c68912738cdb,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,"Forfar, Angus DD8 3NW, UK",NO533568,56.70070844,-2.762722464,100,Accepted,
c501a4d2-7bd4-4518-a39d-e940a67309f3,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,NY33060818,54.4646,-3.0341,50,Accepted,
c4984acc-05fd-462e-8cf6-5a88b97d4413,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,Glassarts Glen,NO220136,56.30847359,-3.260866529,100,Accepted,
c492faf2-db41-4884-922c-70b2633fd951,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,North side of Loch Rannoch,NN660587,56.70088962,-4.188735928,100,Accepted,
c4718e76-24ec-4c9e-8f52-2a85c7e8611b,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,NZ08,55.1593,-1.92307,10000,Unconfirmed,
c424ed75-ff9a-4f86-9092-87d75e07d62f,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,NY76,54.97897,-2.39213,10000,Unconfirmed,
c3ad416d-f12e-4376-acc1-26d415bbd0ae,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,"Boat of Garten, Kinchurdy Road",NH940184,57.2441983,-3.756722169,100,Accepted,
c3955830-000e-464b-8ef1-58bfc4daed13,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,NY0287,55.16753932,-3.538633223,1000,Accepted,
c391299a-12cd-4fe3-8614-fbee08631936,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,Rothley Lake woods,NZ04099035,55.2074,-1.9372,50,Accepted,
c37da0ea-516d-439f-9c9b-2630a8a8b4b3,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,"Mc Donald Golf Club, Ellon, United Kingdom",NJ951311,57.37054586,-2.081480645,100,Accepted,
c37bd9e4-b019-41ff-9781-47ffa9887351,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,"Seaton Park, Aberdeen, United Kingdom",NJ939090,57.1719873,-2.100890681,100,Accepted,
c36b954a-0996-4891-bd21-458c9d1605a0,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,NY66,54.97837,-2.54837,10000,Unconfirmed,
c3529b66-0a3b-4d80-9bdb-6efe9a91cb5c,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,"Dyce, Aberdeen, Aberdeen City AB21 0HB, UK",NJ862148,57.2239272,-2.228565321,100,Accepted,
c3064c87-7277-45ca-ae73-d76171717241,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,Bower wood,NX41336660,54.9687,-4.4801,10,Accepted,
c305d58a-fa1d-4616-8a04-dc1a1dca2878,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,"Brechin, Angus DD9 6TR, UK",NO601568,56.70133871,-2.651671064,100,Accepted,
c30552b2-2944-485b-833a-90481191e7d5,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,"Cairngorm, Sugar Bowl Car Park",NH9807,57.14273395,-3.685792869,1000,Accepted,
c2e38caa-0577-4e46-844c-7905c40a19e8,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,"Firbush Point Field Centre, Killin, United Kingdom",NN61063410,56.47859083,-4.256152385,10,Accepted,
c28b4fed-e24a-471e-8512-0d7b59b41df4,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,Fyvie,NJ7668539082,57.44146,-2.39005,1,Unconfirmed,
c23acae8-ca2a-4f3a-836c-f06310685c39,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,SD20Y,53.5548,-3.07321,2000,Accepted,
c1f1ff36-6695-41b8-801a-b763ea0759be,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,Glenariff forest park work yard,D21142004,55.0131,-6.10702,10,Accepted,
c16e3ce7-2960-42ef-b9ba-db357cd9e7c0,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,florencecourt house,H176349,54.26311,-7.72989,100,Accepted,
c134a6c5-cb27-4c29-bb59-4aebfeed5d26,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,NZ27,55.06884,-1.61006,10000,Unconfirmed,
c0d42334-2b1d-49f1-b4cf-6dab9a812b0f,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,"Glentress Forest, United Kingdom",NT293413,55.66007408,-3.123889063,100,Accepted,
c09e5432-e7a7-41d9-8799-ac200f67149b,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,"Achnacloich, Oban PA37 1PR, UK",NM954333,56.44749056,-5.320034731,100,Accepted,
c0313e2d-4a59-4b58-9390-600d7b518ede,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,Kinaladie (Blackburn),NJ8325015067,57.2262275,-2.27744271,1,Accepted,
c0101eed-ad03-4556-9507-7fab23f262dd,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,NT92,55.51873,-2.08074,10000,Unconfirmed,
bf3a5504-dd33-44aa-acb6-5e023fbd73b5,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,"16 Christie Grange, Bucksburn, Aberdeen, United Kingdom",NJ875098,57.17904478,-2.206782744,100,Accepted,
bf17da34-1974-406e-b725-e4f168ccd911,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,"Glenluce, Newton Stewart, Dumfries and Galloway DG8 0LR, UK",NX198592,54.89490004,-4.810323402,100,Accepted,
bed894a9-4011-415d-93b2-545acd987e09,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,NZ28,55.1587,-1.60918,10000,Unconfirmed,
beb905bd-05fb-4c40-82dc-3d589ad11d91,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,NJ8702,57.10895546,-2.21464792,1000,Accepted,
be8d4213-2c25-4508-b20d-b32d8edde99f,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,NY97,55.06944,-2.07983,10000,Unconfirmed,
bd39cfe4-605e-4668-a0ea-146a647530e0,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,"Tummel Bridge, Pitlochry, Perth and Kinross PH16 5NU, UK",NN770592,56.70840475,-4.009433655,100,Accepted,
bcfcfa6b-5f4f-4428-8487-89a87f574b2a,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,NJ8805,57.13593484,-2.198280622,1000,Accepted,
bc6e4689-4611-44b4-a38a-dbe016a42917,Sciurus vulgaris,,Eurasian Red Squirrel,NBNSYS0000005108,species,present,2015,,NY76,54.97897,-2.39213,10000,Unconfirmed,
